Position,Aspect,Descriptor,AspectCount,WordnetNode,SentimentCompound,SentimentBinary,AdCluster,CommentId,Topic,TopicImportance,TopicSentimentCompound,TopicSentimentBinary,TopicCount
46,food,good,5,food.n.01,0.4404,1.0,real,100,food.n.01,0.04527880640234569,0.07095000000000001,0.21428571428571427,14
77,treat,real,3,dainty.n.01,0.0,0.0,real,356,food.n.01,0.04527880640234569,0.07095000000000001,0.21428571428571427,14
78,time,next,5,time.n.05,0.0,0.0,second,130,time.n.05,0.042660061200781446,0.0,0.0,6
48,time,first,5,time.n.05,0.0,0.0,second,158,time.n.05,0.042660061200781446,0.0,0.0,6
80,time,third,5,time.n.05,0.0,0.0,second,297,time.n.05,0.042660061200781446,0.0,0.0,6
29,time,next,5,time.n.05,0.0,0.0,second,390,time.n.05,0.042660061200781446,0.0,0.0,6
25,time,second,5,time.n.05,0.0,0.0,second,547,time.n.05,0.042660061200781446,0.0,0.0,6
116,years,several,1,days.n.01,0.0,0.0,several,158,days.n.01,0.007110010200130241,0.0,0.0,1
109,baby,small,1,baby.n.01,0.0,0.0,small,630,baby.n.01,0.007110010200130241,0.0,0.0,1
98,boys,small,1,son.n.01,0.0,0.0,small,630,son.n.01,0.007110010200130241,0.0,0.0,1
27,portions,small,1,part.n.01,0.0,0.0,small,839,grease.n.01,0.014220020400260483,0.0,0.0,3
73,job,terrible,1,occupation.n.01,-0.4767,-1.0,terrible,836,occupation.n.01,0.007110010200130241,-0.4767,-1.0,1
39,bar,typical,1,barroom.n.01,0.0,0.0,typical,516,barroom.n.01,0.014220020400260483,0.0,0.0,2
43,bar food,typical,1,bar.n.02,0.0,0.0,typical,516,bar.n.02,0.007110010200130241,0.0,0.0,1
43,food,typical,5,food.n.01,0.0,0.0,typical,516,food.n.01,0.04527880640234569,0.07095000000000001,0.21428571428571427,14
68,employees,unexperienced,2,employee.n.01,0.0,0.0,unexperienced,911,employee.n.01,0.014220020400260483,0.0,0.0,2
38,appetizers,warm,1,appetizer.n.01,0.2263,1.0,warm,348,food.n.01,0.04527880640234569,0.07095000000000001,0.21428571428571427,14
12,atmosphere,warm,1,atmosphere.n.01,0.2263,1.0,warm,348,atmosphere.n.01,0.007110010200130241,0.2263,1.0,1
24,fun,warm,1,fun.n.01,0.2263,1.0,warm,348,fun.n.01,0.007110010200130241,0.2263,1.0,1
