Comments,CommentId
"kauft euch tagestickets f眉r die metro, ist das g眉nstigste!   showReview(15573647, 'full');   ",18
"Preiswerte Basis f眉r Amsterdam-Erkundungen   showReview(15573646, 'full');   ",19
"Im Winter nicht wirklich zu empfehlen   showReview(13979766, 'full');   ",20
"....und noch einmal!!!!.....   showReview(13979765, 'full');   ",21
"Gut und G眉nstig   showReview(13979763, 'full');   ",22
"Preis/Leistung = Top!   showReview(13195642, 'full');   ",23
"na ja...   showReview(13195640, 'full');   ",24
"ein passables Hotel f眉r 1 bis 2 N盲chte   showReview(13195641, 'full');   ",25
"paz mal   showReview(13195639, 'full');   ",26
"Un tr猫s bon rapport qualit茅/prix   showReview(13195638, 'full');   ",27
"hotel 脿 conseiller   showReview(13195637, 'full');   ",28
"Leider konnte man nur mit dem Taxi ins centrum kommen   showReview(11313098, 'full');   ",29
"Un bon h么tel   showReview(11313099, 'full');   ",30
"Bello da fuori   showReview(11313096, 'full');   ",31
"Pour le prochain s茅jour, c'est sur on y retourne !   showReview(11663420, 'full');   ",32
"etwas ausserhalb aber daf眉r gut    showReview(11663419, 'full');   ",33
"gerne wieder   showReview(11446164, 'full');   ",34
"Sch枚nes Hotel im Gr眉nen   showReview(11446161, 'full');   ",35
"Jederzeit wieder   showReview(11446160, 'full');   ",36
"Unfreundlich und dreckig!   showReview(8227867, 'full');   ",37
"Nicht so wie beschrieben   showReview(14731567, 'full');   ",38
"mit begleitumst盲nde nur schlecht   showReview(11495654, 'full');   ",39
"le petit dejeuner est tres couteux   showReview(11422749, 'full');   ",40
"mittel zum zweck   showReview(11422746, 'full');   ",41
"Bon rapport qualit茅/prix   showReview(11398010, 'full');   ",42
"Nous y retournons d猫s que possible   showReview(11391692, 'full');   ",43
"Hot锚l bon rapport Qualit茅 Prix proche du Metro   showReview(11391691, 'full');   ",44
"Abgelegen, aber guenstig fur Amsterdam   showReview(11382166, 'full');   ",45
"Kann man machen   showReview(11376776, 'full');   ",46
"f眉r Kurztrips zu empfehlen   showReview(11354174, 'full');   ",47
"Nur bedingt zufrieden   showReview(11354173, 'full');   ",48
"die Lage ist nicht gut   showReview(11354168, 'full');   ",49
"Quelques d茅tails de confort 脿 revoir   showReview(11333481, 'full');   ",50
"hotel conveniente, buena relaci贸n-calidad precio   showReview(5412210, 'full');   ",51
"cos矛 cos矛   showReview(11331619, 'full');   ",52
"Nous y retournerions 脿 l'occasion   showReview(11329338, 'full');   ",53
Great location but that's all       View from room  ,54
"Perfect location for Berlin long weekend We've just returned from a long weekend in Berlin. The Sofitel was a great choice - fabulous location on Gendarmenmarkt, and within easy walking distance to the Brandenberg Gate, Reichstag, Museum Insel  Alexanderplatz. Two U-bahn stations close by, 5 minutes walk to the Airport bus and a Christmas market right opposite.Our room overlooked an inner courtyard - very quiet. Quality, well appointed room, very comfortable bed  bathroom (although no bath). Breakfast is highly recommended. Staff very polite and helpful. We would definitely go back.Top tips: We booked an official 1 hour tour of the Reichstag  would highly recommend it. Interesting tour  no queues to visit the dome. Also to be recommended is KaDeWe - especially 6th Floor food hall - fabulous!  ",55
"Good Location, Bring your own Soap       bath  ",56
"Fab hotel Great hotel, really good location close to the upmarket shopping district. Had a lovely room overlooking the cathedral. Every luxury you could ask for - Hermes toiletiries in the bathroom, Bose stereo in the bedroom. Wonderful wellness area on the top floor, which has a small sauna and steam room and lovely relaxation areas and showers. A great fitness area as well (not that I used it!). Massages can booked also. Good choice at breakfast. Only downsides - room was very small and the staff were very slightly snooty. Small lobby area - no places to hang around the hotel other than in your room or the wellness area. But these are only minor issues, overall it is a wonderful hotel.  ",57
Best location Stayed in the Sofitel Gendarmenmarkt for 2 nights with my partner in May 08.Lovely hotel situated in former East Berlin on a very green and beautiful square. Couldn't have wished for a better location. Hotel is very funky and modern but the rooms are rather small. Nicely furnished with some cute little twists like a sliding shutter in the bathroom for more privacy and little string you pull on the side of the bed for a lullaby to be played. Also got some chocolates and fruit on arrival which was a nice touch. Didn't have breakfast in the hotel so can't comment on that but the restaurant did look very nice. Went to Solar for dinner one night which had a great view of Berlin. Also a lot of wonderful bars around the hotel so you have plenty do do. I would definately recommend this hotel and i would happily stay there again.  ,58
"Modern and stylish Sofitel in a nice location The location is just fantastic (and probably the reason for the price tag).The rooms are nice, clean and stylish but small. The bed was very comfortable.The only surprise was to find such a small TV and not even plasma/LCD (not that I watched it). The fruits I got as a preferred guest looked in quite bad shape and they went directly into the trash bin. The bathroom (shower only) and its huge doors isn't very practical.There's a small wellness section on the 7th floor with a sauna (not sure it worked properly that day) and a steam bath (very nice). The hot tub was either broken (or not open yet - a saturday at 10am). The view over the roofs is quite nice and so is the small fitness center.I haven't tested any of the restaurants nor breakfast as we spent most of the time in the city and clubbing, and just used the hotel as a place to crash.What I really didn't understand is why they have only one Internet over WiFi provider (with no alternative) who wants to charge 30EUR for 24h! This is unacceptable these days especially as you couldn't use any roaming partner and they seem to filter protocols like VoIP...  ",59
"Fabulous modern hotel Brilliant location Stayed for 3 nights 9-12 December 2007 for sightseeing and xmas markets.It was fantastic.Lucky enough to stay in a deluxe suite which had a seperate sitting area fabulous modern bathroom and really contemporary decor.Fab location overlooking the gendarmenmarkt square which had the biggest and best xmas market, lovely stalls ,eating areas and mulled wine!!!The square also has the opera house and 2 churches which is very picturesque.The area around the hotel is very upmarket and is a stonesthrow away from beautiful shops and shopping malls/department stalls.Brandenburg gate a 10 min walk , Checkpoint Charlie 15 mins away.Also the city-tour bus stops on the square.To the right of the hotel at the end of the street is a beautiful chocolate shop which is an experience not to be missed.Would definately stay here again as its pure luxury.Although breakfast isnt cheap its well worth it so try and get a BB rate if you can.Also no tea/coffee making facilities in room if you like a cuppa when you wake up.  ",60
Wonderful Christmas Break My partner and I stayed in the Sofitel as part of a Birthday weekend.... We had booked a junior suite but upon arrival we were upgraded to a luxury suite...It was amazing.... huge comfortable bed with a lounge area partitioned off with sliding doors... we had one massive bathroom with a bath and one seperate toilet in the lounge area. The bathroom had a plentiful supply of Roger and Gallet toiletries and a cute rubber ducky!!! We had a lovely view of the Gendarmarkt and went to the Christmas Market... I would really recommend going in the evening as the square is beautifully lit up and feels really Christmassy! We drank cocktails in the Newton bar which were delicious and the service is the best I have ever seen!We also went to Watergate nightclub which was fantastic and a great example of how brilliant german clubbing can be!All in all I would definately recommend this hotel and Berlin as a city for a mini break... Especially at Christmas!!!  ,61
"Superb location, friendly staff Culture vultures, gourmets and serial shoppers will delight in the location of this elegant four star hotel, on the edge of the Gendarmenmarkt and in the centre of historic Berlin (but not the best place to stay if your plans focus on the west of the city). Many of the city's world class museums, music and opera venues, art galleries and restaurants are in walking distance, as is the high end shopping of the nearby Friedrichstrasse. Some rooms have a view over the Gendarmenmarkt. We stayed for six nights in a 'junior suite', which was really more a comfortably sized room, well furnished in 'designer' style, apart from a rather ancient TV. The main irritant was an awkwardly designed bathroom and its tiny dysfunctional toilet. The staff are exceptionally friendly and the buffet breakfast must be one of the best in the city (although there are many simpler and less expensive alternatives nearby). There is a well equipped gym and a comfortable 'spa' and the Aigner restuarant is efficient and pleasant. There is no business centre and internet access is expensive and limited. Recommended for a tourist visit, with qualifications on the bathroom. Tip - take your passport with you if you want to rent the excellent audio guides offered in the museums and art galleries.  ",62
"Great location for a weekend break Wonderful location, and just a couple of minutes for the U-Bahn. Rooms small but stylish. OK for short stays, but lack of space would be a problem for longer stays. Also for the price I would have expected a bath as well as a shower.Reception staff friendly and welcoming (I was personally shown to my room by the receptionist, which is unusual these days) but did not seem partiularly well-informed about what's on etc.Breakfast, at EUR 24 is expensive, but great if you like a slow leisurely breakfast with all the trimmings.  ",63
"Sofitel provides trendy elegance Our stay at the Dorint Sofitel Am Gendarmenmarkt in Berlin had a schizophrenic nature. Our first three days we were in a standard room, but for the last two days of our stay, we were upgraded to a suite. What a difference a suite makes! Our first room was elegantly designed, but was a bit small and lacked sufficient storage space. However, we enjoyed its style and the location of this Sofitel is simply superb as the other reviewers mentioned. The Newton Bar, one block away, is fantastic! The major problem of our room, which was on the top floor, was the heat. It was oppressive! Although it was late winter in Berlin, and the wind was howling and the rain pouring, we felt as if we were in Equitorial Africa. I guess heat rises.We mentioned our problem to the management, and voila, next thing you know we are in a suite. Sofitels always come through. The suite was simply magnificent, with two bathrooms, great storage, and a hip ambiance. I must applaud the service at this hotel. I would not hesitate staying at this Sofitel again as long as I am not posted to the highest floor.  ",64
Nice hip hotel - a little overpriced?       The room has a nice view of Gendarmenmarkt  ,65
"Wow what a breakfast! Stayed here for three nights in early February 2007. Quite small, clean room on a high floor with a nice view of the Gendarmenmarkt square. The bathroom was nicely designed but the shower door design was kind of awkward. The room, though very clean, was overheated and I had to open a window to cool the room off. Good central location within walking distance of the Unter den Linden.The bed was very comfortable, with a fluffy, fresh, white duvet. The lighting scheme was very strange, and I found it difficult to read in the room at night. They also need to replace the TVs with flat screens in this price range.The internet setup was awful and I wound up having to buy minutes on the lobby PC, which was really not efficient. Go to an internet cafe instead if you must. The front desk staff were nice enough, but did not know the city very well and were for the most part clueless with regard to tourist type questions.The high point was the AMAZING breakfast buffet, which was included in my winter weekend rate. Wow was it good - the breads were chewy and wonderful, the seafood was plentiful and fresh and I was a happy guy each morning. Lutter and Wegner, which others have mentioned here, was quite good for dinner. There is also a terrific cafe and pastry shop in that direction, as well, steps from the hotel.  ",66
"Excellent Excellent hotel in a great location. The staff is young but very willing. My room, a junior suite, was decent size. Realize that it's a hip hotel, and there is little shelf space and no chest of drawers. This may not be a good choice for an older customer who wants a more formal setting, but it's a great boutique hotel.  ",67
"Superb location This hotel may provide the best breakfast in Berlin but it is over-priced for what any normal person can (or would want to) eat. You are simply paying (over the top) for a choice you do not need or want. Go instead for the more focused breakfast in your room. Having said that, the hotel is otherwise superb - esp. its location, being close to all main sights  Newton's Bar  the best Italian restaurant outside Italy (Maletesta). Steer clear of Lutter  Wegner if the weather is good  the tables outside are busy - the serivce is appallingly slow though the quality of the food may be worth waiting for,  ",68
"Great week at the Sofitel I stayed at the Sofitel for a week during ITB and thoroughly enjoyed my stay. I lunched at Aigner, the restaurant on site, and the food was absolutely superb, as was the service, and give the locale, reasonably priced.When I arrived in my room, it was bright, had a small balcony and had a neat design style decoration. The blue spotlight that shines on the bed is`kind of cool, the whole lighting design is pretty neat.Bathroom is nice, all marble and glass and very functional.The breakfast is excellent, and the service is very attentive, and the choices are excellent.There is always drum and bass music playing lightly in in the background in all the public areas.The gym is good, the steam room was fantastic, I did like the selection of different scents you could choose.All in all, great experience.  ",69
"Nice, but a bit boring...... As the Ritz Carlton was fully booked one of the 3 nights in Berlin, we decided to try the Dorint. Well, we actually found ourselves hanging out having a drink and smoking a cigar, at the Cutain Club at the Ritz anyhow :-)The Dorint has a great location, right at the historic Gendarmenmarkt in Old and historic Berlin. Houses may be reconstructed, but the feel is great. Our Favorite spot for meals and great wine (Lutter  Wegner) is just two steps away.The service at the Dorint however is invisible The staff invisible. Not that we did not get the service we needed, but a true great hotel has alway warm and attentive staff placed here and there.Your lucky if you spot any other staff than in the reception. There is no place to hang out, no real lobby to lounge in, or to enjoy a drink. The public spaces at the hotel are simply so boring, that you will fall asleep after five minutes of hanging out in the reception-area or walking around.zzzzzzzzzzzzzzzz......... boring. The rooms are rather small though very well designed. The design is modern, clever and boring. The TV-set should however be replaced. It was a great laugh.On a positive note,The place is clean and well run. Staff friendly when you actually meet them. THE SPA AND GYM IS MAGNIFICENT. TRULY GREAT! I must say, the spa and gym is one of the best i have ever visited. Really nice. But beware, its mixed and naked. (Just like all other german spas.)The restaurant next door (Aigner) is great. Breakfast at the hotel is rich to say the least , a buffet that beats everything i have seen in any hotel. The room in wich its served is also very cool, but we ended up having breakfast on town anyway, it was simply too boring as we were just a few guests and the atmosphere too sterile.All in all its a OK place to stay in, if you get yourself a good rate. We did, and slept well, in a great location. Nothing else. Eating, drinking, laughing and hving a great time, we did on town and at Lutter  Wegner.  ",70
Great!       Room on 1st floor  ,71
"Superb Room was newly decorated and impecable. Good size, slightly soft bed but otherwise just brilliant. Breakfast was amazing, with as much as you like of almost anything you could imagine. I didn't know so many varieties of bread roll existed! I am sure you could stay somewhere else in berlin that is very nice and much cheaper, but if you want to lavish yourself..........stay here.  ",72
"Perfect Location This is a hotel with a difference, and all good.The basic rooms tend to be small by Berlin standards, however they have everything you will require and a standard of detail that is rarely found.The location could not be better, both for business and pleasure, with a taxi rank opposite the front door.The restaurant is stylish without being over the top, and prices are fair. The perfect place to relax after a day at the office.Staff are courteous and helpful and happy to spend time explaining how to get about the city.Definitely on my list of places to stay.  ",73
"Superb We stayed at the Dorint for 3 nights in August.What a fantastic experience.The hotel is stylish, quiet (even though our room was directly over the entrance) and totally professional.The staff were a delight...so helpful with good dining suggestions and booking help.The room is attractive and well laid out and the bathroom has the best lighting for make-up in any hotel I've ever stayed in.Great closet space.Only question would be the rather shiny surfaced mattress protector used on the bed.Breakfast is expensive....23 Euros, but extremely good and the breakfast staff and really helpful with Berlin tips when you chat to them.The location is fabulous, near the most elegant square in Berlin, and around the corner from one of the best shopping streets in the city.Museums and the Reichstag are all within walking distance.Very highly recommended.Have a meal at Lutter and Wegner, one block away...it's superb.  ",74
"Hidden gem Our family stayed here the end of May, 2006. The staff was very friendly and eager to help us in any way. The rooms were a good size, spotless, and they were able to give us the adjoining rooms we requested. The rooms were very modern and the beds were very comfortable. This hotel is on a quiet street but centrally located. It was an easy walk to Check Point Charlies and the Brandenberg Gates and only a block to the U-Bahn. Several nice restaurants in the area. An engergy efficient system requires your room key to be inserted in a slot inside the door for turning on the lights and when you leave and take your key, the lights automatically turn off in a few minutes. We highly recommend this hotel to anyone visiting Berlin.  ",75
"Absolutely Fantastic Hotel in Heart of Berlin's Mitte We stayed here for 5 nights in mid-May and could not say enough fantastic things about this hotel. We had a deluxe room on the top floor [6th floor] with a breathtaking view of the French Cathedral right out our window! The room was spacious, even by American standards. The staff was great! They were more than eager to help with any questions/requests that we had.The hotel is located within walking distance to almost every major site in Berlin and multiple U-Bahn and S-bahn stations within a moments walk. The Gendarmenmarkt is beautiful and a quiet corner of an otherwise busy city.I would not even consider staying at another hotel in Berlin.  ",76
"Absolutely Wonderful No question, this is a major hotel find in Berlin. Pay for a Deluxe room that includes the best breakfast buffet we saw in our three weeks in Europe, and you are tempted to spend your entire vacation in Berlin. We stayed five nights and walked to all the important sites. Many fine dinner options all within an easy walk from the hotel. Also concerts, opera, and ballet are close by. Fabulous staff, management, atmosphere, and accomodations...very hard to beat!  ",77
"Great location and design at a reasonable price   showReview(5231280, 'full');   ",78
"a classic   showReview(5017310, 'full');   ",79
"A great choice   showReview(4454682, 'full');   ",80
"Not what I expected   showReview(4408538, 'full');   ",81
"A very nice hotel   showReview(4346434, 'full');   ",82
"Looking forward to a return trip   showReview(3534003, 'full');   ",83
"Unique and Fun   showReview(3323463, 'full');   ",84
"Extraordinary!   showReview(2988274, 'full');   ",85
"Great design   showReview(2290491, 'full');   ",86
"Recommended   showReview(1647920, 'full');   ",87
"Je suis vraiment chez SOFITEL???   showReview(23201964, 'full');   ",88
Sch枚nes Boutique-Hotel       Zimmer  ,89
"Gerne wieder   showReview(16605377, 'full');   ",90
"Gut, aber zu klein   showReview(8515561, 'full');   ",91
"Great Location, great accomodation, great value Great location, this is the overflow to the pricier Dai-Ichi. It therefore does not have restaurants etc but is more like an apartment block. This does not matter though as there are hundreds of restaurants within walking distance. This is one of the best located hotels for Ginza and its surrounding areas.Great value  ",92
"Loved the Dai-Ichi Hotel The room is in a very good order, and the deco is good. Flat screen TV, and a personal computer with free Internet connection are available in the room. The staff speaks very good English and is always very helpful. But you will have to go to the main Dai-Ichi Hotel (2 minutes walk away) if you need to use the facilities in the business centre.The location of the hotel is very good - only takes 5 minutes to walk to the main Ginza shopping area. The nearest metro station is Shimbashi (on Ginza and Asakusa Lines), and it is just a few minutes walk from the hotel (take Exit 7 for the hotel). The Italian restaurant at the hotel is not so good - but there are many nice reastaurants in the surrounding area so plenty of choices are available for dinning. The number of TV channels are limited, but BCC is available in English indeed. You just have to press the sound button on the remote control a few times to set the language into English.  ",93
"Okay but... Rooms were small (even double booked for 1 person), but clean and adequately furnished and the morning English language paper was nice BUT ALL TV (EVEN CNN AND BBC) was presented in Japanese.The location was extremely convenient.  ",94
"Absolute Recommended We stayed in this hotel for 3 days - it was a very good experience. The staff is extremely helpful and polite - somebody from the reception helped us to book the hotel for our trip next location. Even if there are some train tracks on the other side of the road, the rooms are pretty well isolated and this was not an issue. The subway station is close, so it's an area with restaurants. The room is clean with a decent size and has free Internet access(we borowed an Internet cable from the reception), fridge, TV, hair dryer, flat screen TV.  ",95
"Good location, nice hotel This was our second stay here at the Annex. They have done some of the rooms up since last year (we were on the 7th floor and it was definitely new). The location is brilliant - if you have a JR pass especially so - you are across the street from Shimbashi station and you can use the Yamanote line for free inside tokyo with your pass to get pretty much everywhere you need to go (Akihabara, Shinjuku, Shibuya, etc).There are loads of small restaurants within 2 - 5 minutes walking and of course you have all that Ginza has to offer shopping wise.Bic Camera is right down the street too. What's not to love?They have a new underground passage to Shimbashi station, which is nice if it is raining. There is also a new German (?!?!) restaurant located downstairs next door if you need a quick beer and a bratwurst! We've never managed to make it to the Italian restaurant on the premises - the hours are not good - but there is plenty of great stuff on offer all around.The only downside is not specific to the Annex - the lack of ability to control the room temperature. The japanese like their rooms HOT!We'll be back on our next trip in September, so I think that says it all.  ",96
"Comfortable and convenient We enjoyed our three day stay here as it was very comfortable , clean and the staff were extremely helpful. The hotel is in a convenient location within about 7 minutes walk from the metro. If you are on a budget this is an ideal place to be. [Going to the loo in your hotel room is certainly an interesting experience, I laughed like a drain every time I went! Some loos will even play you a tune.] Tokyo is a mixture of ugly futuristic buildings and beautiful historic shrines. It is an interesting place, but I would not want a second visit. Unless you are wealthy, don't eat in the restaurants they are VERY expensive. It is possible to find little back street 'noodle houses' and eat for about 拢12 each.  ",97
"Highly recommended This hotel is excellent in terms of value for the money. I had a recently refurbished room on 9th floor. The room was on the small side but absolutely adequate, the most clean one we had in Japan and nothing to complain about. There is enough space for the luggage of two persons. The bed was very comfortable and I loved the pillows -one memory foam and the other feather. We could never hear any noise from other rooms during the 7-day stay. And the massage chair was extra bonus. The best thing was definitely the wonderful view you can enjoy sitting on the large window sill.  ",98
"Great Value The annex is typically the lesser of the main hotel, and while we didn't stay in the main hotel, it was worth the savings. The hotels are coordinated, so they work together. We used the business centre at the main, and their porters whisked between the buildings, etc. The tour desk/concierege was excellent at the Annex. The rooms are a reasonable size for Japan, complete with mini fridge, drawers, LARGE desk, and flat screen tv. Each bedside table was reasonably sized with a drawer and shelf. Electric drapes were useful too. The bed, pillows and linens were very comfortable, and well-appointed room. It was quiet, and we really enjoyed the stay for the value. It is not ultra-lux, but very luxurious for its star rating. We took a taxi from Toyko Station, as the transfer to Shimbashi and Ginza would have been tiring. It's well located to high-end Ginza, and very close (underground connected) to the metro station. It was a perfect base for our three nights in Tokyo. This was a great stay, and I would recommend this annex to anyone. We also took the airport limo from the hotel, which then gave us a very late checkout for free (highly recommended).  ",99
